Filename,mean(exx),stdev(exx),mean(eyy),stdev(eyy),mean(exy),stdev(exy)
BY60C-9_page_0136.out,-0.00108769,0.000274196,0.00320918,0.000354807,-2.80E-05,0.00017012
BY60C-9_page_0137.out,-0.00116743,0.00024168,0.00350207,0.000364318,-3.37E-05,0.000161712
BY60C-9_page_0138.out,-0.00127381,0.000278151,0.00380163,0.000372611,-2.92E-05,0.000174099
BY60C-9_page_0139.out,-0.00135773,0.000273952,0.00410534,0.000400465,-5.01E-05,0.000172595
BY60C-9_page_0140.out,-0.00145802,0.000251144,0.0044256,0.00039159,-5.43E-05,0.000172754
BY60C-9_page_0141.out,-0.0015774,0.000269977,0.00473431,0.000391733,-4.53E-05,0.000194296
BY60C-9_page_0142.out,-0.00167826,0.000264018,0.00504458,0.000433334,-4.41E-05,0.000174837
BY60C-9_page_0143.out,-0.0017869,0.000293934,0.0053876,0.000438182,-3.16E-05,0.000186328
BY60C-9_page_0144.out,-0.00189775,0.000302071,0.00575299,0.000432793,-3.90E-05,0.000196675
BY60C-9_page_0145.out,-0.0020207,0.000315306,0.00610903,0.000471111,-3.41E-05,0.000206994
BY60C-9_page_0146.out,-0.00212328,0.000306558,0.0064843,0.000467037,-4.66E-05,0.000192465
BY60C-9_page_0147.out,-0.00225985,0.000355476,0.00681943,0.000503274,-4.74E-05,0.000207288
BY60C-9_page_0148.out,-0.00219063,0.000335344,0.00666462,0.000476858,-4.94E-05,0.000200747
BY60C-9_page_0149.out,-0.00210169,0.000329165,0.00638377,0.000480115,-3.36E-05,0.000215876
BY60C-9_page_0150.out,-0.00201377,0.000327802,0.00609722,0.000501579,-5.00E-05,0.000198743
BY60C-9_page_0151.out,-0.00191831,0.000326541,0.0058365,0.000441986,-5.46E-05,0.000202254
BY60C-9_page_0152.out,-0.00183216,0.000328824,0.00553663,0.000435235,-5.70E-05,0.000185168
BY60C-9_page_0153.out,-0.00172934,0.000326129,0.00523457,0.000482315,-4.87E-05,0.000189637
BY60C-9_page_0154.out,-0.0016436,0.000323216,0.00495235,0.000461451,-4.87E-05,0.000176866
BY60C-9_page_0155.out,-0.00154427,0.000291206,0.00467532,0.000447144,-5.21E-05,0.000175069
BY60C-9_page_0156.out,-0.00145582,0.000349539,0.00437763,0.000446914,-3.39E-05,0.000191995
BY60C-9_page_0157.out,-0.00135422,0.00031304,0.00407444,0.000423508,-3.50E-05,0.000170694
BY60C-9_page_0158.out,-0.00127301,0.000321888,0.00376736,0.000421408,-3.51E-05,0.000180254
BY60C-9_page_0159.out,-0.00118197,0.000325951,0.00347488,0.000419367,-2.52E-05,0.000182163
BY60C-9_page_0160.out,-0.00107184,0.000344733,0.00315938,0.000408693,-2.14E-05,0.00016975
BY60C-9_page_0161.out,-0.000983962,0.000316296,0.00287507,0.000369662,-2.81E-05,0.000161387
BY60C-9_page_0162.out,-0.000878099,0.000287791,0.00255511,0.000395669,-1.61E-05,0.000183589
BY60C-9_page_0163.out,-0.000785856,0.00031932,0.00224269,0.000401956,1.03E-06,0.000160088
BY60C-9_page_0164.out,-0.000689131,0.000308402,0.0019208,0.0003802,9.37E-07,0.000153813
BY60C-9_page_0165.out,-0.000554004,0.000289867,0.00162068,0.000364518,-7.90E-06,0.000170496
BY60C-9_page_0166.out,-0.000465066,0.000292034,0.00131246,0.000361107,-5.86E-06,0.000164738
BY60C-9_page_0167.out,-0.000367657,0.000331406,0.00100847,0.000331124,5.26E-06,0.000169072
BY60C-9_page_0168.out,-0.000271823,0.000304786,0.000667977,0.000347192,8.03E-06,0.000170431
BY60C-9_page_0169.out,-0.000174684,0.000306562,0.000363764,0.000365125,3.94E-06,0.000161783
BY60C-9_page_0170.out,-7.40E-05,0.000333208,7.62E-05,0.000315993,4.62E-06,0.000148853
BY60C-9_page_0171.out,1.80E-05,0.00035883,-0.000217923,0.000308669,-5.42E-06,0.000160642
