"Filename","mean(exx)","stdev(exx)","mean(eyy)","stdev(eyy)","mean(exy)","stdev(exy)"
"BY60C-11_page_0164.out",-0.00194466,0.00041773,0.00595415,0.000435723,3.27986e-05,0.000220691
"BY60C-11_page_0165.out",-0.0018384,0.000391099,0.00568068,0.000431805,3.59144e-05,0.000217091
"BY60C-11_page_0166.out",-0.00174797,0.000399918,0.00541895,0.000401726,4.823e-05,0.000233708
"BY60C-11_page_0167.out",-0.00167564,0.000415033,0.00515523,0.000418909,2.62499e-05,0.000235017
"BY60C-11_page_0168.out",-0.00160486,0.000415982,0.00486881,0.000432722,3.16251e-05,0.000216082
"BY60C-11_page_0169.out",-0.00155259,0.000429345,0.00461108,0.000379371,3.97225e-05,0.000230792
"BY60C-11_page_0170.out",-0.00147507,0.000433811,0.00434482,0.000408893,4.6229e-05,0.000240315
"BY60C-11_page_0171.out",-0.00137222,0.000439445,0.00405861,0.000365735,4.13957e-05,0.000227541
"BY60C-11_page_0172.out",-0.00128779,0.000416777,0.00379032,0.000398156,3.95513e-05,0.000251844
"BY60C-11_page_0173.out",-0.00115581,0.000396878,0.00349078,0.000376907,3.88598e-05,0.00021424
"BY60C-11_page_0174.out",-0.00109856,0.000424267,0.00321467,0.000403641,2.04806e-05,0.000206259
"BY60C-11_page_0175.out",-0.000995662,0.000427503,0.00294237,0.00038437,3.77272e-05,0.000217339
"BY60C-11_page_0176.out",-0.000919634,0.000447209,0.00266556,0.000373142,4.24813e-05,0.000217749
"BY60C-11_page_0177.out",-0.000846373,0.000439193,0.00242274,0.000334704,2.6432e-05,0.000209692
"BY60C-11_page_0178.out",-0.000749845,0.000408262,0.0021399,0.000353595,3.49417e-05,0.000195526
"BY60C-11_page_0179.out",-0.000674555,0.000436688,0.00184547,0.000360101,1.68878e-05,0.000191962
"BY60C-11_page_0180.out",-0.000580379,0.000461046,0.00159975,0.000351095,3.88389e-05,0.000206543
"BY60C-11_page_0181.out",-0.000644257,0.000470519,0.00177744,0.000388664,3.73864e-05,0.000228443
"BY60C-11_page_0182.out",-0.000691481,0.000476014,0.00203661,0.000343483,3.74397e-05,0.000230614
"BY60C-11_page_0183.out",-0.000797586,0.000501787,0.00229217,0.000374105,2.21524e-05,0.000209746
"BY60C-11_page_0184.out",-0.00090794,0.000464823,0.00253417,0.000372047,2.96173e-05,0.000216361
"BY60C-11_page_0185.out",-0.000984799,0.000471467,0.00280984,0.000421558,3.64456e-05,0.00022118
"BY60C-11_page_0186.out",-0.00105608,0.000456085,0.00308279,0.000412698,2.7931e-05,0.000206029
"BY60C-11_page_0187.out",-0.00116793,0.000482159,0.00334628,0.000387221,1.10181e-05,0.000223207
"BY60C-11_page_0188.out",-0.0012419,0.00045887,0.0036305,0.000423877,1.70084e-05,0.00022967
"BY60C-11_page_0189.out",-0.0013145,0.000461374,0.00391627,0.000417384,3.82859e-05,0.000245967
"BY60C-11_page_0190.out",-0.00140691,0.000505213,0.00418172,0.000431183,3.52179e-05,0.000227203
"BY60C-11_page_0191.out",-0.00150215,0.000509938,0.00444826,0.000433241,2.9977e-05,0.00023384
"BY60C-11_page_0192.out",-0.00159504,0.000509393,0.00472567,0.000468459,2.23523e-05,0.000244268
"BY60C-11_page_0193.out",-0.00165032,0.000470151,0.0050034,0.000486703,2.56814e-05,0.000255285
"BY60C-11_page_0194.out",-0.00173798,0.000496326,0.00528111,0.000442885,3.03772e-05,0.00026933
"BY60C-11_page_0195.out",-0.00181315,0.000478284,0.00553537,0.000466748,3.55589e-05,0.000264112
"BY60C-11_page_0196.out",-0.00192304,0.000502219,0.00580055,0.000492755,3.16979e-05,0.000259109
"BY60C-11_page_0197.out",-0.00200632,0.000514466,0.00608033,0.000487855,2.84583e-05,0.000264374
"BY60C-11_page_0198.out",-0.00209218,0.000526316,0.00633509,0.000504525,2.87209e-05,0.000278763
"BY60C-11_page_0199.out",-0.00217769,0.000528174,0.00658761,0.000494233,5.3097e-05,0.000302418
"BY60C-11_page_0200.out",-0.00229176,0.000533651,0.00688035,0.000503712,3.41817e-05,0.000276957
"BY60C-11_page_0201.out",-0.00236138,0.000545781,0.00713818,0.000498498,5.51993e-05,0.000314553
"BY60C-11_page_0202.out",-0.00244606,0.000535425,0.00743036,0.000510141,4.47146e-05,0.000298747
"BY60C-11_page_0203.out",-0.0025348,0.000538814,0.00768525,0.000522354,4.6549e-05,0.000275892
"BY60C-11_page_0204.out",-0.00261215,0.000560594,0.00798026,0.000538266,5.149e-05,0.000278863
"BY60C-11_page_0205.out",-0.00270828,0.000555876,0.00829452,0.000555061,5.80192e-05,0.000292637
"BY60C-11_page_0206.out",-0.00280858,0.000574424,0.00860032,0.00056679,4.32756e-05,0.000291265
"BY60C-11_page_0207.out",-0.00291962,0.000548639,0.00891047,0.000555733,4.36935e-05,0.000303067
"BY60C-11_page_0208.out",-0.0030151,0.000557815,0.00926359,0.00057033,4.72784e-05,0.000311469
"BY60C-11_page_0209.out",-0.00310478,0.000533249,0.00961088,0.000582445,5.03607e-05,0.000306646
"BY60C-11_page_0210.out",-0.00322401,0.0005686,0.00995389,0.000598358,4.7e-05,0.000323607
"BY60C-11_page_0211.out",-0.00319387,0.000548437,0.0099144,0.000613699,5.84223e-05,0.00031442
"BY60C-11_page_0212.out",-0.00310557,0.000559158,0.00967826,0.000576964,5.71099e-05,0.000291503
"BY60C-11_page_0213.out",-0.00305935,0.00060293,0.00939609,0.000586614,5.00163e-05,0.00031263
"BY60C-11_page_0214.out",-0.00292866,0.000550265,0.00912602,0.000623007,4.74495e-05,0.00031166
"BY60C-11_page_0215.out",-0.00286904,0.000567115,0.0088666,0.00057508,5.42684e-05,0.000300189
"BY60C-11_page_0216.out",-0.00278282,0.000584317,0.00859296,0.00057697,6.26414e-05,0.000307079
"BY60C-11_page_0217.out",-0.00268566,0.000579382,0.0083125,0.000568296,6.10251e-05,0.000302732
"BY60C-11_page_0218.out",-0.00258883,0.000548439,0.00804362,0.000555027,5.34373e-05,0.000291814
"BY60C-11_page_0219.out",-0.00250893,0.00056909,0.0077798,0.000563854,4.54566e-05,0.000304375
"BY60C-11_page_0220.out",-0.0024374,0.000562742,0.00750247,0.000533661,5.6278e-05,0.000277821
"BY60C-11_page_0221.out",-0.00235683,0.000599785,0.00722431,0.000531601,5.60105e-05,0.000299733
"BY60C-11_page_0222.out",-0.00225408,0.000607723,0.00693194,0.000551793,5.53976e-05,0.00029035
"BY60C-11_page_0223.out",-0.00215799,0.000588024,0.00665349,0.000581494,5.82859e-05,0.000294086
"BY60C-11_page_0224.out",-0.00212769,0.00065837,0.00639001,0.000541212,5.79908e-05,0.000293767
"BY60C-11_page_0225.out",-0.00198624,0.000544603,0.00609373,0.000516559,6.05334e-05,0.000286842
"BY60C-11_page_0226.out",-0.00192782,0.000606405,0.00582055,0.000533903,5.00034e-05,0.000284714
"BY60C-11_page_0227.out",-0.00182523,0.000628061,0.00551172,0.000529274,5.66241e-05,0.000283484
"BY60C-11_page_0228.out",-0.00174374,0.000634657,0.00522423,0.000533855,5.45204e-05,0.000293036
"BY60C-11_page_0229.out",-0.00166388,0.000620795,0.0049523,0.000490352,7.27328e-05,0.000288707
"BY60C-11_page_0230.out",-0.00156094,0.000620517,0.00466594,0.000478172,6.94595e-05,0.000279755
"BY60C-11_page_0231.out",-0.00149965,0.000630384,0.00437793,0.000507973,6.53965e-05,0.000307343
"BY60C-11_page_0232.out",-0.00140236,0.000651222,0.00406196,0.000506005,4.19133e-05,0.000283852
"BY60C-11_page_0233.out",-0.00127258,0.000617225,0.00379026,0.000496492,5.90829e-05,0.000279107
"BY60C-11_page_0234.out",-0.00117923,0.000631712,0.00349777,0.000501122,7.15567e-05,0.000294291
"BY60C-11_page_0235.out",-0.00111297,0.000708149,0.00317895,0.000529958,6.00774e-05,0.000295538
"BY60C-11_page_0236.out",-0.00101746,0.000680024,0.00287625,0.000482613,7.07619e-05,0.00029641
"BY60C-11_page_0237.out",-0.000922828,0.000679313,0.00260693,0.000497376,5.47322e-05,0.000288678
"BY60C-11_page_0238.out",-0.000831119,0.00067392,0.00233231,0.000523143,3.95207e-05,0.00027854
"BY60C-11_page_0239.out",-0.000856078,0.000644768,0.00249855,0.000491443,5.5694e-05,0.0002974
"BY60C-11_page_0240.out",-0.000954326,0.000697599,0.00275167,0.000478142,5.1831e-05,0.000280009
"BY60C-11_page_0241.out",-0.00103075,0.000731087,0.00302876,0.00052325,5.78292e-05,0.000284032
"BY60C-11_page_0242.out",-0.00109159,0.000667815,0.00328816,0.000517265,4.49569e-05,0.000273821
"BY60C-11_page_0243.out",-0.00119588,0.000662592,0.00356264,0.000493562,6.07903e-05,0.000287717
"BY60C-11_page_0244.out",-0.00128689,0.000666912,0.0038579,0.000509435,6.03587e-05,0.000277676
"BY60C-11_page_0245.out",-0.00138505,0.00068371,0.00412581,0.000520607,4.79687e-05,0.000266588
"BY60C-11_page_0246.out",-0.00145178,0.000676544,0.00445431,0.000531611,6.08822e-05,0.000309128
"BY60C-11_page_0247.out",-0.00153601,0.000676844,0.00474176,0.00053273,6.7563e-05,0.000295707
"BY60C-11_page_0248.out",-0.00167139,0.000681358,0.00503587,0.000539123,4.0165e-05,0.000292375
"BY60C-11_page_0249.out",-0.00175654,0.000732785,0.00530039,0.000580308,2.91897e-05,0.000293267
"BY60C-11_page_0250.out",-0.00184352,0.000728624,0.00559853,0.000587482,3.94416e-05,0.000295658
"BY60C-11_page_0251.out",-0.00193728,0.000728448,0.00587443,0.000567522,4.72743e-05,0.000292134
