Filename,No,mean(exx),stdev(exx),mean(eyy),stdev(eyy),mean(exy),stdev(exy)
BY60M-2_page_0156.out,156,-0.0220234,0.00728017,0.0682278,0.0228288,-0.000147051,0.00171698
BY60M-2_page_0157.out,157,-0.0222145,0.00750332,0.0688466,0.0235333,-0.000143594,0.00172693
BY60M-2_page_0158.out,158,-0.0224088,0.00771198,0.0694522,0.0242737,-0.000152303,0.00173
BY60M-2_page_0159.out,159,-0.0225967,0.00791775,0.0700767,0.0249928,-0.000149471,0.00175026
BY60M-2_page_0160.out,160,-0.0227845,0.00814533,0.0706813,0.0257305,-0.000149123,0.00176204
BY60M-2_page_0161.out,161,-0.0229929,0.00836691,0.0712881,0.0264844,-0.000141988,0.00178942
BY60M-2_page_0162.out,162,-0.0231762,0.00859231,0.0719015,0.0272292,-0.000124703,0.00179048
BY60M-2_page_0163.out,163,-0.0233666,0.00882501,0.0725303,0.0280422,-0.000117941,0.00180431
BY60M-2_page_0164.out,164,-0.0235631,0.0090606,0.0731568,0.0288856,-0.000120972,0.00182836
BY60M-2_page_0165.out,165,-0.0237484,0.00928954,0.0737627,0.0297183,-0.000107252,0.00184379
BY60M-2_page_0166.out,166,-0.0239298,0.00952806,0.0743856,0.030573,-0.000104992,0.00186069
BY60M-2_page_0167.out,167,-0.0241146,0.00976481,0.0750011,0.031458,-9.48E-05,0.0018822
BY60M-2_page_0168.out,168,-0.0242896,0.00998845,0.0756268,0.0323482,-7.40E-05,0.0018915
BY60M-2_page_0169.out,169,-0.0244779,0.0102244,0.0762589,0.033267,-5.18E-05,0.00190923
BY60M-2_page_0170.out,170,-0.0246378,0.0104609,0.0768884,0.0341898,-3.67E-05,0.00193034
BY60M-2_page_0171.out,171,-0.0248276,0.0107046,0.0774929,0.0351297,-1.59E-05,0.00194721
BY60M-2_page_0172.out,172,-0.0250039,0.0109425,0.0781147,0.0360828,5.69E-06,0.00196939
BY60M-2_page_0173.out,173,-0.0251759,0.0111755,0.0787251,0.0370476,2.58E-05,0.0019924
BY60M-2_page_0174.out,174,-0.0253413,0.0114057,0.0793198,0.0379985,5.12E-05,0.00201195
BY60M-2_page_0175.out,175,-0.0255048,0.0116321,0.0799118,0.0389459,7.36E-05,0.00205132
BY60M-2_page_0176.out,176,-0.0256641,0.0118474,0.0804812,0.0398811,0.000103107,0.00207801
