General : Start Date,3/28/2019 12:57 PM,
Custom choice input : Operator,Ping,
Text Inputs : Specimen label,w20s1.2n1,
Custom choice input : Material,Polypropylene,
Dimension : Length,200,mm
Dimension : Thickness,5.3,mm
Dimension : Width,20.3,mm
Dimension : Area,1.0759,cm^2
,,
Time,Extension,Load
(sec),(mm),(N)
66.0852,2.17095,32.91345
66.1852,2.17405,32.96141
66.2852,2.1776,33.01582
66.3852,2.181,33.06601
66.4852,2.18401,33.10822
66.5852,2.1875,33.1588
66.6852,2.191,33.2116
66.7852,2.19404,33.25408
66.8852,2.1975,33.3068
66.9852,2.20108,33.35781
67.0852,2.20409,33.39654
67.1852,2.20747,33.44772
67.2852,2.21108,33.4988
67.3852,2.21412,33.54752
67.4852,2.21743,33.59706
67.5852,2.22106,33.65033
67.6852,2.22417,33.6955
67.7852,2.22743,33.73982
67.8852,2.23103,33.79231
67.9852,2.23421,33.8386
68.0852,2.23736,33.88606
68.1852,2.24094,33.93608
68.2852,2.24425,33.98242
68.3852,2.24734,34.02654
68.4852,2.25094,34.07778
68.5852,2.25433,34.13462
68.6852,2.25736,34.17873
68.7852,2.26091,34.22663
68.8852,2.2644,34.28024
68.9852,2.26737,34.31981
69.0852,2.27085,34.37094
69.1852,2.27443,34.42225
69.2852,2.2774,34.46382
69.3852,2.2808,34.51566
69.4852,2.28442,34.56835
69.5852,2.28744,34.61045
69.6852,2.29075,34.65952
69.7852,2.29437,34.71197
69.8852,2.29748,34.7599
69.9852,2.30072,34.80741
70.0852,2.30437,34.8589
70.1852,2.30753,34.90842
70.2852,2.31074,34.95137
70.3852,2.31433,35.00307
70.4852,2.31756,35.04965
70.5852,2.32072,35.09616
70.6852,2.32432,35.14991
70.7852,2.32764,35.19564
70.8852,2.33073,35.24058
70.9852,2.33428,35.2935
71.0852,2.3377,35.34434
71.1852,2.34069,35.38678
71.2852,2.34419,35.43686
71.3852,2.34772,35.4908
71.4852,2.3507,35.53312
71.5852,2.35418,35.58118
71.6852,2.35777,35.63996
71.7852,2.36107,35.66895
71.8852,2.36415,35.70056
71.9852,2.36751,35.74635
72.0852,2.37064,35.78995
72.1852,2.37402,35.84226
72.2852,2.37771,35.90107
72.3852,2.38088,35.95023
72.4852,2.3841,35.99413
72.5852,2.38763,36.0476
72.6852,2.39081,36.09197
72.7852,2.39401,36.13927
72.8852,2.39762,36.19312
72.9852,2.40092,36.2423
73.0852,2.40406,36.28774
73.1852,2.40764,36.33642
73.2852,2.41095,36.38235
73.3852,2.41396,36.42683
73.4852,2.41754,36.48252
73.5852,2.42101,36.53523
73.6852,2.42401,36.57831
73.7852,2.42756,36.62862
73.8852,2.43111,36.68078
73.9852,2.43404,36.72371
74.0852,2.43743,36.76925
74.1852,2.44106,36.82246
74.2852,2.44404,36.86901
74.3852,2.44743,36.91639
74.4852,2.45107,36.96881
74.5852,2.45413,37.014
74.6852,2.45741,37.06285
74.7852,2.46098,37.11573
74.8852,2.46414,37.16447
74.9852,2.46737,37.21276
75.0852,2.47098,37.26881
75.1852,2.47423,37.31421
75.2852,2.47738,37.35814
75.3852,2.48097,37.41032
75.4852,2.48431,37.46038
75.5852,2.48737,37.50423
75.6852,2.49093,37.55617
75.7852,2.49434,37.60681
75.8852,2.49733,37.64945
75.9852,2.50084,37.7026
76.0852,2.50438,37.75606
76.1852,2.50736,37.79818
76.2852,2.5108,37.8495
76.3852,2.51442,37.90217
76.4852,2.5174,37.94356
76.5852,2.52075,37.99309
76.6852,2.5244,38.04515
76.7852,2.52744,38.0874
76.8852,2.53071,38.13587
76.9852,2.53438,38.18791
77.0852,2.53751,38.23657
77.1852,2.54074,38.28402
77.2852,2.54432,38.33643
77.3852,2.54751,38.38452
77.4852,2.55067,38.43173
77.5852,2.55427,38.4813
77.6852,2.55763,38.52892
77.7852,2.56073,38.57499
77.8852,2.56427,38.62808
77.9852,2.56763,38.6755
78.0852,2.57064,38.71995
78.1852,2.57417,38.76828
78.2852,2.57768,38.8233
78.3852,2.58073,38.86873
78.4852,2.58422,38.92324
78.5852,2.58774,38.97216
78.6852,2.59071,39.01822
78.7852,2.59412,39.06661
78.8852,2.59771,39.11879
78.9852,2.60074,39.16278
79.0852,2.60414,39.21074
79.1852,2.60775,39.26386
79.2852,2.6108,39.30264
79.3852,2.61405,39.34953
79.4852,2.61764,39.40841
79.5852,2.62079,39.45654
79.6852,2.62402,39.50396
79.7852,2.62768,39.37755
79.8852,2.6309,39.26933
79.9852,2.63404,39.17654
80.0852,2.63762,39.15514
80.1852,2.6409,39.21565
80.2852,2.64396,39.27622
80.3852,2.64756,39.35359
80.4852,2.65104,39.41171
80.5852,2.65406,39.46698
80.6852,2.65755,39.5215
80.7852,2.66104,39.56386
80.8852,2.66396,39.50667
80.9852,2.66745,39.38154
81.0852,2.67106,39.37627
81.1852,2.67407,39.33334
81.2852,2.67752,39.3085
81.3852,2.68112,39.35101
81.4852,2.68408,39.41696
81.5852,2.6874,39.59743
81.6852,2.691,39.6697
81.7852,2.69411,39.72113
81.8852,2.69741,39.77184
81.9852,2.70107,39.64613
82.0852,2.70426,39.87295
82.1852,2.7074,39.91764
82.2852,2.71096,39.97901
82.3852,2.71421,40.0293
82.4852,2.71729,40.07935
82.5852,2.7209,40.13301
82.6852,2.72434,40.18618
82.7852,2.72738,40.22933
82.8852,2.73088,40.28241
82.9852,2.73431,40.33331
83.0852,2.73732,40.37848
83.1852,2.7408,40.4299
83.2852,2.74439,40.48404
83.3852,2.74742,40.52795
