"Filename","mean(exx)","mean(eyy)","mean(exy)"
"BY60M-1_page_0248.out",0.00182921,0.225681,0.0343003
"BY60M-1_page_0249.out",0.0017413,0.229463,0.0355761
"BY60M-1_page_0250.out",0.00127628,0.234012,0.0369755
"BY60M-1_page_0251.out",0.00359825,0.234446,0.0386259
"BY60M-1_page_0252.out",0.00461549,0.239045,0.0404177
"BY60M-1_page_0253.out",0.00538101,0.243783,0.041961
"BY60M-1_page_0254.out",0.00641463,0.24894,0.0437586
"BY60M-1_page_0255.out",0.00735766,0.254641,0.0456179
"BY60M-1_page_0256.out",0.00854623,0.261108,0.0479208
"BY60M-1_page_0257.out",0.00947274,0.26784,0.0510784
"BY60M-1_page_0258.out",0.0592101,0.320011,0.055515
"BY60M-1_page_0259.out",0.0615607,0.319104,0.0580806
"BY60M-1_page_0260.out",0.0608485,0.298715,0.051855
"BY60M-1_page_0261.out",0.061774,0.30186,0.0533108
"BY60M-1_page_0262.out",0.0634918,0.307362,0.0553831
"BY60M-1_page_0263.out",0.0664746,0.314361,0.0582623
