"Filename","mean(exx)","stdev(exx)","mean(eyy)","stdev(eyy)","mean(exy)","stdev(exy)"
"BY60M-6_page_0183.out",-0.0166264,0.00588121,0.0533778,0.0196607,-0.000744152,0.000946205
"BY60M-6_page_0184.out",-0.0166029,0.00589067,0.0533568,0.0196987,-0.000730966,0.000947174
"BY60M-6_page_0185.out",-0.016576,0.00590035,0.0533171,0.0197193,-0.000715713,0.000943152
"BY60M-6_page_0186.out",-0.0165927,0.00592095,0.0532633,0.0197644,-0.000726366,0.000955529
"BY60M-6_page_0187.out",-0.0165754,0.0059285,0.053201,0.0198032,-0.000715476,0.000950869
"BY60M-6_page_0188.out",-0.0165506,0.00593178,0.0531171,0.0198402,-0.000695947,0.000953382
"BY60M-6_page_0189.out",-0.0164901,0.00594676,0.0529447,0.0198464,-0.000667664,0.000958278
"BY60M-6_page_0190.out",-0.0164762,0.00595633,0.052806,0.0198653,-0.00068255,0.000953563
"BY60M-6_page_0191.out",-0.0164174,0.00597135,0.0526427,0.0198756,-0.000672257,0.000953077
"BY60M-6_page_0192.out",-0.016398,0.00599095,0.052537,0.0198976,-0.00066679,0.000952076
"BY60M-6_page_0193.out",-0.0163733,0.00600231,0.0524318,0.0199222,-0.000646272,0.000957321
"BY60M-6_page_0194.out",-0.0163612,0.00601416,0.0523352,0.0199432,-0.000650041,0.000957032
"BY60M-6_page_0195.out",-0.0163273,0.00601651,0.0522362,0.0199656,-0.000637309,0.000959328
"BY60M-6_page_0196.out",-0.0163001,0.00604749,0.0521499,0.0199969,-0.000627789,0.000953599
"BY60M-6_page_0197.out",-0.0162834,0.00606048,0.0520518,0.0200283,-0.000614858,0.000961159
"BY60M-6_page_0198.out",-0.0162378,0.00606226,0.0519561,0.020067,-0.000605128,0.000973999
"BY60M-6_page_0199.out",-0.0162322,0.00607591,0.0518572,0.0200739,-0.000589089,0.000958219
"BY60M-6_page_0200.out",-0.0161992,0.00608348,0.0517133,0.0200816,-0.00058636,0.000980368
"BY60M-6_page_0201.out",-0.0161306,0.00610701,0.0515152,0.0200472,-0.000570847,0.000964961
"BY60M-6_page_0202.out",-0.0161062,0.00610905,0.051417,0.0200913,-0.000567723,0.000973337
"BY60M-6_page_0203.out",-0.016077,0.00610967,0.0513748,0.0201418,-0.000549617,0.000967826
"BY60M-6_page_0204.out",-0.0160702,0.00612448,0.0512865,0.0201901,-0.000541583,0.000981285
"BY60M-6_page_0205.out",-0.0160633,0.00613758,0.051218,0.0202534,-0.000540048,0.000980407
"BY60M-6_page_0206.out",-0.0160585,0.00615761,0.051156,0.0203111,-0.00052822,0.000967542
"BY60M-6_page_0207.out",-0.0160201,0.00619898,0.0510852,0.0203515,-0.00052384,0.000986588
"BY60M-6_page_0208.out",-0.016005,0.00620776,0.0510025,0.0204109,-0.000515151,0.000999857
"BY60M-6_page_0209.out",-0.0159748,0.00619871,0.050871,0.0204242,-0.000509246,0.000987259
"BY60M-6_page_0210.out",-0.0159205,0.00620607,0.0507441,0.020471,-0.00048079,0.000984842
"BY60M-6_page_0211.out",-0.015893,0.00620898,0.0506141,0.0205226,-0.000460906,0.00097125
"BY60M-6_page_0212.out",-0.0158556,0.00625551,0.0504721,0.0205626,-0.000453962,0.000976015
"BY60M-6_page_0213.out",-0.0158105,0.00628369,0.050307,0.0206124,-0.000436565,0.000985281
"BY60M-6_page_0214.out",-0.0157409,0.00628033,0.0501362,0.0206442,-0.00043706,0.000972902
"BY60M-6_page_0215.out",-0.0157001,0.00629817,0.0499548,0.0206803,-0.000436281,0.000980755
"BY60M-6_page_0216.out",-0.0156723,0.00631289,0.0497999,0.0207178,-0.000429294,0.00097459
"BY60M-6_page_0217.out",-0.0156062,0.00631703,0.0496679,0.0207587,-0.000405916,0.00097654
"BY60M-6_page_0218.out",-0.0155445,0.00629002,0.0495305,0.0208046,-0.000385843,0.000988128
