General : Start Date,3/28/2019 12:57 PM
Custom choice input : Operator,Ping
Text Inputs : Specimen label,"w20s1.2n1"
Custom choice input : Material,Polypropylene
Dimension : Length,200.00000,mm
Dimension : Thickness,5.30000,mm
Dimension : Width,20.30000,mm
Dimension : Area,1.07590,cm^2

Time,Extension,Load
(sec),(mm),(N)
54.48520,1.78445,27.29955
54.58520,1.78739,27.33992
54.68520,1.79083,27.38738
54.78520,1.79432,27.44177
54.88520,1.79730,27.48094
54.98520,1.80083,27.53249
55.08520,1.80447,27.58151
55.18520,1.80747,27.62510
55.28520,1.81087,27.67808
55.38520,1.81440,27.73471
55.48520,1.81736,27.77692
55.58520,1.82073,27.82243
55.68520,1.82443,27.87571
55.78520,1.82754,27.92241
55.88520,1.83085,27.96929
55.98520,1.83445,28.02264
56.08520,1.83749,28.06406
56.18520,1.84063,28.10882
56.28520,1.84427,28.16132
56.38520,1.84760,28.21306
56.48520,1.85074,28.25871
56.58520,1.85435,28.31111
56.68520,1.85768,28.36009
56.78520,1.86068,28.40714
56.88520,1.86418,28.45619
56.98520,1.86766,28.50334
57.08520,1.87070,28.54892
57.18520,1.87423,28.59591
57.28520,1.87779,28.65153
57.38520,1.88079,28.69231
57.48520,1.88420,28.74098
57.58520,1.88772,28.79316
57.68520,1.89076,28.83944
57.78520,1.89413,28.88862
57.88520,1.89772,28.94014
57.98520,1.90080,28.98683
58.08520,1.90411,29.03601
58.18520,1.90766,29.08259
58.28520,1.91078,29.12808
58.38520,1.91402,29.17554
58.48520,1.91758,29.22913
58.58520,1.92087,29.27583
58.68520,1.92401,29.32159
58.78520,1.92759,29.37362
58.88520,1.93093,29.42400
58.98520,1.93402,29.46841
59.08520,1.93759,29.52118
59.18520,1.94103,29.57393
59.28520,1.94404,29.61794
59.38520,1.94753,29.66548
59.48520,1.95103,29.71724
59.58520,1.95406,29.76166
59.68520,1.95752,29.81120
59.78520,1.96110,29.86313
59.88520,1.96411,29.90703
59.98520,1.96746,29.95355
60.08520,1.97104,30.00575
60.18520,1.97409,30.04954
60.28520,1.97741,30.09712
60.38520,1.98106,30.15208
60.48520,1.98419,30.20071
60.58520,1.98745,30.24580
60.68520,1.99106,30.29836
60.78520,1.99422,30.34627
60.88520,1.99736,30.38928
60.98520,2.00096,30.44230
61.08520,2.00429,30.48972
61.18520,2.00739,30.53511
61.28520,2.01097,30.58573
61.38520,2.01434,30.63720
61.48520,2.01733,30.68240
61.58520,2.02088,30.73352
61.68520,2.02437,30.78479
61.78520,2.02735,30.82820
61.88520,2.03090,30.87881
61.98520,2.03444,30.93100
62.08520,2.03738,30.97188
62.18520,2.04081,31.02350
62.28520,2.04442,31.07333
62.38520,2.04740,31.11430
62.48520,2.05081,31.16620
62.58520,2.05448,31.21870
62.68520,2.05750,31.26534
62.78520,2.06076,31.31184
62.88520,2.06437,31.36932
62.98520,2.06749,31.41582
63.08520,2.07068,31.45909
63.18520,2.07433,31.51127
63.28520,2.07759,31.55730
63.38520,2.08073,31.60316
63.48520,2.08432,31.65564
63.58520,2.08761,31.70101
63.68520,2.09063,31.74602
63.78520,2.09420,31.79926
63.88520,2.09765,31.85100
63.98520,2.10076,31.89883
64.08520,2.10428,31.94954
64.18520,2.10775,32.00191
64.28520,2.11073,32.04275
64.38520,2.11415,32.09171
